2019-03-06-16-22-21-534	72	131073	-0.06403007	0.8514349	0.5854356
2019-03-06-16-22-21-538	73	131074	-0.06194605	0.8060559	0.6088081
2019-03-06-16-22-21-541	74	131075	-0.08626854	0.8073165	0.5941851
2019-03-06-16-22-21-544	75	131076	-0.02212367	0.8280504	0.5694843
2019-03-06-16-22-21-547	76	50040	-0.04801484	0.7705462	0.4553204
2019-03-06-16-22-21-550	77	50041	-0.04934767	0.686521	0.3795113
2019-03-06-16-22-21-553	78	50078	0.3675395	0.7357094	0.3100952
2019-03-06-16-22-21-555	79	50079	0.4495161	0.6928437	0.2326776
2019-03-06-16-22-21-565	80	131073	-0.06402608	0.8513971	0.585343
2019-03-06-16-22-21-569	81	131074	-0.06193211	0.8060507	0.6087602
2019-03-06-16-22-21-572	82	131075	-0.08625146	0.8072916	0.5941321
2019-03-06-16-22-21-575	83	131076	-0.02210311	0.8280212	0.5694202
2019-03-06-16-22-21-578	84	50040	-0.05075919	0.7710238	0.4562351
2019-03-06-16-22-21-581	85	50041	-0.04984716	0.6871054	0.3792842
2019-03-06-16-22-21-583	86	50078	0.3645382	0.7358907	0.3102898
2019-03-06-16-22-21-586	87	50079	0.4466696	0.6927757	0.2329855
2019-03-06-16-22-21-594	88	131073	-0.06395795	0.8513358	0.5851901
2019-03-06-16-22-21-597	89	131074	-0.0618596	0.8060394	0.6087036
2019-03-06-16-22-21-600	90	131075	-0.08617305	0.8072754	0.5940698
2019-03-06-16-22-21-603	91	131076	-0.02202461	0.8280045	0.5693599
2019-03-06-16-22-21-606	92	50040	-0.0542827	0.7725856	0.455962
2019-03-06-16-22-21-609	93	50041	-0.05052307	0.6878797	0.3787525
2019-03-06-16-22-21-612	94	50078	0.359954	0.7357902	0.3102631
2019-03-06-16-22-21-616	95	50079	0.4428134	0.6923532	0.2333698
2019-03-06-16-22-21-619	96	50082	0.08242071	1.004186	0.3072095
2019-03-06-16-22-21-627	97	131073	-0.06388044	0.8513954	0.5853177
2019-03-06-16-22-21-630	98	131074	-0.06181889	0.8060583	0.6087324
2019-03-06-16-22-21-634	99	131075	-0.08609392	0.8071866	0.5941041
2019-03-06-16-22-21-637	100	131076	-0.02196581	0.8280281	0.569436
2019-03-06-16-22-21-640	101	50040	-0.05753791	0.7737542	0.4559284
2019-03-06-16-22-21-643	102	50041	-0.05100853	0.6883919	0.3782897
2019-03-06-16-22-21-646	103	50078	0.3548255	0.7356748	0.3101126
2019-03-06-16-22-21-650	104	50079	0.4381306	0.6922243	0.2342031
2019-03-06-16-22-21-658	105	131073	-0.06390429	0.8514629	0.5854476
2019-03-06-16-22-21-661	106	131074	-0.06183004	0.8060646	0.6088057
2019-03-06-16-22-21-664	107	131075	-0.08614818	0.8073391	0.5941804
2019-03-06-16-22-21-668	108	131076	-0.02198227	0.8280492	0.5695152
2019-03-06-16-22-21-671	109	50040	-0.06106129	0.7737054	0.4575611
2019-03-06-16-22-21-674	110	50041	-0.05124004	0.6884227	0.377978
2019-03-06-16-22-21-677	111	50078	0.349687	0.7343454	0.3100753
2019-03-06-16-22-21-681	112	50079	0.4333112	0.6917355	0.2351023
2019-03-06-16-22-21-690	113	131073	-0.06393027	0.8514631	0.5854715
2019-03-06-16-22-21-693	114	131074	-0.06185582	0.8060552	0.6088213
2019-03-06-16-22-21-697	115	131075	-0.08617762	0.8073361	0.5942011
2019-03-06-16-22-21-700	116	131076	-0.02201232	0.8280544	0.5695324
2019-03-06-16-22-21-703	117	50040	-0.06367525	0.7727699	0.4597837
2019-03-06-16-22-21-707	118	50041	-0.05121193	0.6882373	0.3779201
2019-03-06-16-22-21-710	119	50078	0.3454632	0.7336552	0.3103162
2019-03-06-16-22-21-713	120	50079	0.4296005	0.6911023	0.2358589
2019-03-06-16-22-21-721	121	131073	-0.06398156	0.8514091	0.5853805
2019-03-06-16-22-21-724	122	131074	-0.06189407	0.8060358	0.6087713
2019-03-06-16-22-21-727	123	131075	-0.08621686	0.8072931	0.5941517
2019-03-06-16-22-21-731	124	131076	-0.02206665	0.828016	0.5694413
