2019-03-06-15-53-35-988	72	63027	0.7339115	0.7255173	-0.2244959
2019-03-06-15-53-35-991	73	63028	-0.007071167	0.7929139	0.4371215
2019-03-06-15-53-35-994	74	63030	0.0205228	0.7648683	0.326722
2019-03-06-15-53-36-004	75	131073	-0.06109989	0.8516389	0.5836439
2019-03-06-15-53-36-007	76	131074	-0.05987773	0.8063427	0.6071764
2019-03-06-15-53-36-010	77	131075	-0.08388619	0.8077047	0.5920131
2019-03-06-15-53-36-013	78	131076	-0.01912203	0.8277209	0.5685354
2019-03-06-15-53-36-016	79	65537	-0.2605851	0.7368987	0.5846959
2019-03-06-15-53-36-018	80	65538	-0.2763561	0.7912887	0.5530819
2019-03-06-15-53-36-021	81	65539	-0.4188851	0.7531496	0.4712032
2019-03-06-15-53-36-025	82	65540	-0.3692377	0.7821121	0.4449361
2019-03-06-15-53-36-028	83	65541	-0.3205819	0.6986592	0.6046025
2019-03-06-15-53-36-030	84	65542	-0.2937783	0.7646499	0.5715721
2019-03-06-15-53-36-033	85	65543	-0.4084053	0.6929636	0.4190845
2019-03-06-15-53-36-036	86	62778	-0.4042241	0.6834823	0.4715505
2019-03-06-15-53-36-039	87	63027	0.7196884	0.7282848	-0.2335501
2019-03-06-15-53-36-042	88	63028	-0.02235111	0.7961935	0.4470422
2019-03-06-15-53-36-044	89	63030	0.004380472	0.7694865	0.3362517
2019-03-06-15-53-36-054	90	131073	-0.06107721	0.8516789	0.5837162
2019-03-06-15-53-36-057	91	131074	-0.0598713	0.806396	0.6072438
2019-03-06-15-53-36-060	92	131075	-0.08387201	0.8077496	0.5920635
2019-03-06-15-53-36-063	93	131076	-0.01911094	0.8277772	0.5686269
2019-03-06-15-53-36-066	94	65537	-0.2605863	0.73694	0.5847111
2019-03-06-15-53-36-069	95	65538	-0.2763598	0.7913331	0.5530939
2019-03-06-15-53-36-073	96	65539	-0.4188828	0.7531984	0.4712168
2019-03-06-15-53-36-076	97	65540	-0.3692352	0.7821519	0.4449473
2019-03-06-15-53-36-079	98	65541	-0.3205823	0.6987183	0.6046211
2019-03-06-15-53-36-082	99	65542	-0.293785	0.7646957	0.5715867
2019-03-06-15-53-36-084	100	65543	-0.408397	0.6929779	0.4190938
2019-03-06-15-53-36-087	101	62778	-0.4042098	0.6835558	0.4715831
2019-03-06-15-53-36-090	102	63027	0.7088366	0.7297316	-0.2398481
2019-03-06-15-53-36-093	103	63028	-0.03134194	0.8008476	0.4513482
2019-03-06-15-53-36-095	104	63030	-0.005247746	0.7730396	0.3409109
2019-03-06-15-53-36-103	105	131073	-0.06109312	0.8516757	0.5837464
2019-03-06-15-53-36-106	106	131074	-0.05988251	0.8063663	0.6072575
2019-03-06-15-53-36-109	107	131075	-0.08388803	0.8077361	0.5920827
2019-03-06-15-53-36-114	108	131076	-0.01912986	0.8277524	0.5686429
2019-03-06-15-53-36-117	109	65537	-0.2606083	0.7369123	0.5847107
